Scheme Type,Scheme Name,Actuals 2020-2021,Budget Estimates 2021-2022,Revised Estimates 2021-2022,Budget Estimates 2022-2023
Core of the Core Schemes,Mahatma Gandhi National Rural Employment Guarantee Program,111170,73000,98000,73000
Core of the Core Schemes,National Social Assistance Progam,42443,9200,8730,9652
Core of the Core Schemes,Umbrella Programme for Development of Minorities,1298,1564,1374,1810
Core of the Core Schemes,Umbrella Programme for Development of Other Vulnerable Groups,1671,2140,1930,1931
Core of the Core Schemes,Umbrella Programme for Development of Scheduled Tribes,3172,4303,3798,4111
Core of the Core Schemes,Umbrella Scheme for Development of Schedule Castes,5876,6566,7322,8710
Core Schemes,Pradhan Mantri Jan Aarogya Yojna (RSBY),2681,6401,7500,7857
Core Schemes,Blue Revolution,709,1015,1210,1891
Core Schemes,Border Area Development Programme,64,566,222,566
Core Schemes,"Environment, Forestry and Wildlife",552,766,670,930
Core Schemes,Infrastructure Facilities for Judiciary,599,784,778,858
Core Schemes,Jal Jeevan Mission (JJM)/National Rural Drinking Water Mission,10998,50011,45011,60000
Core Schemes,Jobs and Skill Development,3682,3482,2753,2688
Core Schemes,Modernisation of Police Forces,2057,2803,3346,2754
Core Schemes,National Education Mission,28088,34300,30796,39553
Core Schemes,National Health Mission,37478,37130,34947,37800
Core Schemes,National Livelihood Mission-Ajeevika,10025,14473,12505,14236
Core Schemes,Pradhan Mantri Awas Yojna (PMAY),40260,27500,47390,48000
Core Schemes,Pradhan Mantri Gram Sadak Yojna,13688,15000,14000,19000
Core Schemes,Pradhan Mantri Krishi Sinchai Yojna,7877,11588,12706,12954
Core Schemes,Rashtriya Gram Swaraj Abhiyan (RGSA),567,661,682,663
Core Schemes,Shyama Prasad Mukherjee Rurban Mission,369,600,375,550
Core Schemes,Swachh Bharat Mission,995,2300,2000,2300
Core Schemes,Swachh Bharat Mission (Gramin),4945,9994,6000,7192
Core Schemes,Urban Rejuvenation Mission: AMRUT and Smart Cities Mission,9754,13750,13900,14100
Core Schemes,ASPIRE (Accelerating State Education Program to Improve Results),...,...,...,600
Core Schemes,Development Programmes,...,1177,1394,1395
Core Schemes,Exemplar,...,...,...,1800
Core Schemes,Krishionnati Yojana,...,...,...,7183
Core Schemes,Mission Shakti (Mission for Protection and Empowerment for Women),...,3109,2121,3184
Core Schemes,Mission VATSALYA (Child Protection Services and Child Welfare Services),...,900,830,1472
Core Schemes,Pradhan Mantri Ayushman Bharat Health Infrastructure Mission (PMABHIM),...,...,585,4177
Core Schemes,Pradhan Mantri Poshan Shakti Nirman (PM POSHAN),...,...,...,10234
Core Schemes,Prime Minister Formalisation of Micro Food Processing Enterprises Scheme (PM FME),395,500,399,900
Core Schemes,Rashtriya Krishi Vikas Yojna,...,...,...,10433
Core Schemes,"Revision of norms for Central Assistance released to States/Uts for meeting expenditure on intra-state movement, handling of foodgrains and FPS dealers margin under NFSA",...,...,...,6572
Core Schemes,"Saksham Anganwadi and POSHAN 2.0 (Umbrella ICDS - Anganwadi Services, Poshan Abhiyan, Scheme for Adolescent Girls)",...,20105,20000,20263
Core Schemes,Strengthening Teaching-Learning and Results for States (STARS),92,485,340,550
Major Central Sector Schemes,Market Intervention Scheme and Price Support Scheme (MIS-PSS),1358,1501,3596,1500
Major Central Sector Schemes,Pradhan Mantri Kisan Samman Nidhi (PM-Kisan),60990,65000,67500,68000
Major Central Sector Schemes,Crop Insurance Scheme,14161,16000,15989,15500
Major Central Sector Schemes,Modified Interest Subvention Scheme (MISS),...,...,...,19500
Major Central Sector Schemes,Crop Science,593,708,615,526
Major Central Sector Schemes,R&D projects of Bhabha Atomic Research Centre (BARC),...,1257,1046,1259
Major Central Sector Schemes,Urea Subsidy,90549,58768,75930,63222
Major Central Sector Schemes,Nutrient Based Subsidy,37372,20762,64192,42000
Major Central Sector Schemes,Production Linked Incentive Schemes,...,...,182,1629
Major Central Sector Schemes,Regional Connectivity Scheme,700,600,994,601
Major Central Sector Schemes,Interest Equalisation Scheme,1667,1900,3151,2622
Major Central Sector Schemes,Refund of Central and Integrated GST to Industrial Units in North Eastern Region and Himalayan States,2716,2508,3808,3632
